date,usdinr,oil,dxy,vix,us10y
2019-12-27,71.30030059814453,68.16000366210938,96.91999816894531,13.430000305175781,1.8739999532699585
2019-12-28,71.30030059814453,68.16000366210938,96.91999816894531,13.430000305175781,1.8739999532699585
2019-12-29,71.30030059814453,68.16000366210938,96.91999816894531,13.430000305175781,1.8739999532699585
2019-12-30,71.31300354003906,68.44000244140625,96.73999786376953,14.819999694824219,1.8949999809265137
2019-12-31,71.31099700927734,66.0,96.38999938964844,13.779999732971191,1.9190000295639038
2020-01-01,71.27580261230469,66.0,96.38999938964844,13.779999732971191,1.9190000295639038
2020-01-02,71.0250015258789,66.25,96.8499984741211,12.470000267028809,1.8819999694824219
2020-01-03,71.41500091552734,68.5999984741211,96.83999633789062,14.020000457763672,1.7879999876022339
2020-01-04,71.41500091552734,68.5999984741211,96.83999633789062,14.020000457763672,1.7879999876022339
2020-01-05,71.41500091552734,68.5999984741211,96.83999633789062,14.020000457763672,1.7879999876022339
2020-01-06,71.73100280761719,68.91000366210938,96.66999816894531,13.850000381469727,1.8109999895095825
2020-01-07,71.78700256347656,68.2699966430664,96.9800033569336,13.789999961853027,1.8270000219345093
2020-01-08,72.16000366210938,65.44000244140625,97.30000305175781,13.449999809265137,1.8739999532699585
2020-01-09,71.41190338134766,65.37000274658203,97.44999694824219,12.539999961853027,1.8580000400543213
2020-01-10,71.19429779052734,64.9800033569336,97.36000061035156,12.5600004196167,1.8250000476837158
2020-01-11,71.19429779052734,64.9800033569336,97.36000061035156,12.5600004196167,1.8250000476837158
2020-01-12,71.19429779052734,64.9800033569336,97.36000061035156,12.5600004196167,1.8250000476837158
2020-01-13,70.9530029296875,64.19999694824219,97.3499984741211,12.319999694824219,1.8480000495910645
2020-01-14,70.71890258789062,64.48999786376953,97.37000274658203,12.390000343322754,1.8179999589920044
2020-01-15,70.84510040283203,64.0,97.2300033569336,12.420000076293945,1.7879999876022339
2020-01-16,70.71800231933594,64.62000274658203,97.31999969482422,12.319999694824219,1.809000015258789
2020-01-17,70.94560241699219,64.8499984741211,97.61000061035156,12.100000381469727,1.8359999656677246
2020-01-18,70.94560241699219,64.8499984741211,97.61000061035156,12.100000381469727,1.8359999656677246
2020-01-19,70.94560241699219,64.8499984741211,97.61000061035156,12.100000381469727,1.8359999656677246
2020-01-20,71.03469848632812,64.8499984741211,97.61000061035156,12.100000381469727,1.8359999656677246
2020-01-21,71.03099822998047,64.58999633789062,97.52999877929688,12.850000381469727,1.7690000534057617
2020-01-22,71.16999816894531,63.209999084472656,97.52999877929688,12.90999984741211,1.7690000534057617
2020-01-23,71.0781021118164,62.040000915527344,97.69000244140625,12.979999542236328,1.7400000095367432
2020-01-24,71.32099914550781,60.689998626708984,97.8499984741211,14.5600004196167,1.680999994277954
2020-01-25,71.32099914550781,60.689998626708984,97.8499984741211,14.5600004196167,1.680999994277954
2020-01-26,71.32099914550781,60.689998626708984,97.8499984741211,14.5600004196167,1.680999994277954
2020-01-27,71.32499694824219,59.31999969482422,97.95999908447266,18.229999542236328,1.6050000190734863
2020-01-28,71.44000244140625,59.5099983215332,98.0199966430664,16.280000686645508,1.6410000324249268
2020-01-29,71.23040008544922,59.810001373291016,97.98999786376953,16.389999389648438,1.593999981880188
2020-01-30,71.30000305175781,58.290000915527344,97.87000274658203,15.489999771118164,1.5579999685287476
2020-01-31,71.63999938964844,58.15999984741211,97.38999938964844,18.84000015258789,1.5199999809265137
2020-02-01,71.63999938964844,58.15999984741211,97.38999938964844,18.84000015258789,1.5199999809265137
2020-02-02,71.63999938964844,58.15999984741211,97.38999938964844,18.84000015258789,1.5199999809265137
2020-02-03,71.49649810791016,54.45000076293945,97.80000305175781,17.969999313354492,1.5199999809265137
2020-02-04,71.31410217285156,53.959999084472656,97.95999908447266,16.049999237060547,1.6030000448226929
2020-02-05,71.0999984741211,55.279998779296875,98.2699966430664,15.149999618530273,1.6490000486373901
2020-02-06,71.18000030517578,54.93000030517578,98.5,14.960000038146973,1.6440000534057617
2020-02-07,71.47000122070312,54.470001220703125,98.68000030517578,15.470000267028809,1.5779999494552612
2020-02-08,71.47000122070312,54.470001220703125,98.68000030517578,15.470000267028809,1.5779999494552612
2020-02-09,71.47000122070312,54.470001220703125,98.68000030517578,15.470000267028809,1.5779999494552612
2020-02-10,71.5155029296875,53.27000045776367,98.83000183105469,15.039999961853027,1.5470000505447388
2020-02-11,71.27999877929688,54.0099983215332,98.72000122070312,15.180000305175781,1.590000033378601
2020-02-12,71.27529907226562,55.790000915527344,99.05000305175781,13.739999771118164,1.6299999952316284
2020-02-13,71.29620361328125,56.34000015258789,99.06999969482422,14.149999618530273,1.6169999837875366
2020-02-14,71.26850128173828,57.31999969482422,99.12000274658203,13.680000305175781,1.5880000591278076
2020-02-15,71.26850128173828,57.31999969482422,99.12000274658203,13.680000305175781,1.5880000591278076
2020-02-16,71.26850128173828,57.31999969482422,99.12000274658203,13.680000305175781,1.5880000591278076
2020-02-17,71.51480102539062,57.31999969482422,99.12000274658203,13.680000305175781,1.5880000591278076
2020-02-18,71.34919738769531,57.75,99.45999908447266,14.829999923706055,1.555999994277954
2020-02-19,71.57499694824219,59.119998931884766,99.5999984741211,14.380000114440918,1.5700000524520874
2020-02-20,71.82749938964844,59.310001373291016,99.87000274658203,15.5600004196167,1.524999976158142
2020-02-21,72.11000061035156,58.5,99.26000213623047,17.079999923706055,1.4709999561309814
2020-02-22,72.11000061035156,58.5,99.26000213623047,17.079999923706055,1.4709999561309814
2020-02-23,72.11000061035156,58.5,99.26000213623047,17.079999923706055,1.4709999561309814
2020-02-24,71.88680267333984,56.29999923706055,99.29000091552734,25.030000686645508,1.3769999742507935
2020-02-25,72.04669952392578,54.95000076293945,98.97000122070312,27.850000381469727,1.3300000429153442
2020-02-26,71.87000274658203,53.43000030517578,99.0,27.559999465942383,1.309999942779541
2020-02-27,71.66339874267578,52.18000030517578,98.44000244140625,39.15999984741211,1.2990000247955322
2020-02-28,71.93000030517578,50.52000045776367,98.12999725341797,40.11000061035156,1.1269999742507935
2020-02-29,71.93000030517578,50.52000045776367,98.12999725341797,40.11000061035156,1.1269999742507935
2020-03-01,71.93000030517578,50.52000045776367,98.12999725341797,40.11000061035156,1.1269999742507935
2020-03-02,72.1500015258789,51.900001525878906,97.36000061035156,33.41999816894531,1.0880000591278076
2020-03-03,72.82499694824219,51.86000061035156,97.1500015258789,36.81999969482422,1.0099999904632568
2020-03-04,73.34200286865234,51.130001068115234,97.33999633789062,31.989999771118164,0.9919999837875366
2020-03-05,74.0425033569336,49.9900016784668,96.81999969482422,39.619998931884766,0.9259999990463257
2020-03-06,73.8551025390625,45.27000045776367,95.94999694824219,41.939998626708984,0.7059999704360962
2020-03-07,73.8551025390625,45.27000045776367,95.94999694824219,41.939998626708984,0.7059999704360962
